InternalID,StudentID,FirstName,LastName,CourseID,Year,Gender
3000,2024-3000,R,E,2,4,F
2999,2024-2999,E,C,1,4,F
2998,2024-2998,S,N,3,5,O
2997,2024-2997,Z,I,1,2,M
2996,2024-2996,N,Q,4,4,O
2995,2024-2995,J,L,2,2,F
2994,2024-2994,U,S,2,5,O
2993,2024-2993,H,S,2,3,F
2992,2024-2992,Z,U,4,2,F
2991,2024-2991,A,W,3,2,F
2990,2024-2990,N,Q,1,3,M
2989,2024-2989,Z,Q,2,2,M
2988,2024-2988,Y,K,3,5,M
2987,2024-2987,X,E,3,2,F
2986,2024-2986,G,V,2,4,O
2985,2024-2985,P,J,1,4,O
2984,2024-2984,U,A,1,1,M
2983,2024-2983,I,V,2,3,M
2982,2024-2982,B,L,1,1,F
2981,2024-2981,S,I,2,1,O
2980,2024-2980,T,Q,1,1,O
2979,2024-2979,N,Z,4,3,M
2978,2024-2978,H,O,3,1,M
2977,2024-2977,R,G,1,1,M
2976,2024-2976,Z,O,2,2,O
2975,2024-2975,Z,A,2,5,F
2974,2024-2974,C,M,3,3,O
2973,2024-2973,M,F,3,3,F
2972,2024-2972,D,L,3,2,F
2971,2024-2971,J,A,3,5,O
2970,2024-2970,G,R,4,3,O
2969,2024-2969,P,X,4,1,F
2968,2024-2968,Y,E,2,3,F
2967,2024-2967,U,K,1,2,M
2966,2024-2966,Q,O,1,1,M
2965,2024-2965,Q,W,3,5,M
2964,2024-2964,X,P,2,3,F
2963,2024-2963,W,P,4,1,O
2962,2024-2962,N,B,2,3,M
2961,2024-2961,W,F,4,2,F
2960,2024-2960,F,W,4,5,O
2959,2024-2959,A,M,3,2,O
2958,2024-2958,F,Q,1,2,M
2957,2024-2957,X,U,2,1,F
2956,2024-2956,G,O,1,2,M
2955,2024-2955,W,V,1,1,O
2954,2024-2954,T,Y,3,4,F
2953,2024-2953,Z,P,1,3,M
2952,2024-2952,P,Y,2,4,F
2951,2024-2951,B,B,3,3,M
2950,2024-2950,J,O,2,2,F
2949,2024-2949,G,I,4,2,M
2948,2024-2948,B,B,1,2,M
2947,2024-2947,Y,A,1,1,F
2946,2024-2946,P,K,2,5,F
2945,2024-2945,B,P,2,1,M
2944,2024-2944,B,R,1,1,M
2943,2024-2943,K,K,4,3,F
2942,2024-2942,F,R,2,3,O
2941,2024-2941,C,L,1,2,M
2940,2024-2940,O,W,4,4,O
2939,2024-2939,Q,R,2,3,F
2938,2024-2938,C,S,3,2,M
2937,2024-2937,M,U,2,5,F
2936,2024-2936,A,D,4,2,O
2935,2024-2935,V,J,4,2,O
2934,2024-2934,P,A,1,3,M
2933,2024-2933,N,M,1,2,F
2932,2024-2932,P,Z,4,4,F
2931,2024-2931,C,P,1,1,M
2930,2024-2930,P,T,3,4,M
2929,2024-2929,R,F,3,4,M
2928,2024-2928,P,H,1,5,O
2927,2024-2927,K,P,2,5,M
2926,2024-2926,L,D,3,1,M
2925,2024-2925,N,P,2,1,O
2924,2024-2924,P,W,2,3,F
2923,2024-2923,J,D,1,3,F
2922,2024-2922,U,K,3,2,O
2921,2024-2921,D,O,4,4,M
2920,2024-2920,C,T,3,2,M
2919,2024-2919,V,X,3,3,O
2918,2024-2918,W,G,3,1,O
2917,2024-2917,I,P,1,4,M
2916,2024-2916,K,U,2,5,O
2915,2024-2915,F,D,1,3,M
2914,2024-2914,V,D,4,2,M
2913,2024-2913,W,S,3,5,O
2912,2024-2912,K,N,2,5,M
2911,2024-2911,A,K,4,1,F
2910,2024-2910,U,D,1,3,M
2909,2024-2909,S,D,1,2,F
2908,2024-2908,T,V,3,2,F
2907,2024-2907,B,G,2,5,F
2906,2024-2906,N,W,2,1,O
2905,2024-2905,O,E,1,4,O
2904,2024-2904,J,K,3,2,O
2903,2024-2903,X,S,4,5,M
2902,2024-2902,J,L,1,3,M
2901,2024-2901,W,O,4,3,M
2900,2024-2900,N,Z,4,5,O
2899,2024-2899,N,B,2,3,F
2898,2024-2898,P,X,4,2,M
2897,2024-2897,F,S,3,3,M
2896,2024-2896,V,K,3,1,O
2895,2024-2895,T,G,2,3,O
2894,2024-2894,C,V,1,4,F
2893,2024-2893,R,W,4,2,O
2892,2024-2892,O,G,1,4,M
2891,2024-2891,U,S,4,5,F
2890,2024-2890,K,L,1,5,M
2889,2024-2889,T,T,4,5,O
2888,2024-2888,Z,B,3,5,M
2887,2024-2887,M,W,3,2,O
2886,2024-2886,S,S,3,4,O
2885,2024-2885,W,A,3,2,F
2884,2024-2884,U,H,3,5,O
2883,2024-2883,F,A,2,5,M
2882,2024-2882,B,U,1,1,F
2881,2024-2881,L,K,3,2,F
2880,2024-2880,I,Q,1,1,M
2879,2024-2879,X,V,2,5,O
2878,2024-2878,C,X,1,2,O
2877,2024-2877,M,O,2,2,F
2876,2024-2876,H,R,1,5,F
2875,2024-2875,G,Q,1,5,M
2874,2024-2874,T,O,1,1,F
2873,2024-2873,T,F,1,1,M
2872,2024-2872,L,M,1,4,O
2871,2024-2871,M,F,4,4,F
2870,2024-2870,H,J,4,3,F
2869,2024-2869,Z,C,3,1,O
2868,2024-2868,P,U,2,3,M
2867,2024-2867,V,X,1,4,O
2866,2024-2866,F,J,1,4,O
2865,2024-2865,U,N,1,3,M
2864,2024-2864,L,D,3,5,O
2863,2024-2863,Y,J,1,5,F
2862,2024-2862,S,P,2,4,M
2861,2024-2861,B,D,2,5,F
2860,2024-2860,G,Z,1,4,F
2859,2024-2859,T,C,4,3,F
2858,2024-2858,S,U,2,1,O
2857,2024-2857,O,Q,2,1,F
2856,2024-2856,A,Z,4,3,O
2855,2024-2855,I,I,2,5,M
2854,2024-2854,X,X,2,1,O
2853,2024-2853,F,X,2,3,O
2852,2024-2852,K,E,4,2,M
2851,2024-2851,K,D,3,2,M
2850,2024-2850,T,W,3,3,F
2849,2024-2849,G,J,2,5,M
2848,2024-2848,H,S,1,3,M
2847,2024-2847,C,Z,4,2,M
2846,2024-2846,F,W,1,5,M
2845,2024-2845,F,R,4,5,M
2844,2024-2844,Y,X,3,1,O
2843,2024-2843,Z,L,1,1,F
2842,2024-2842,P,O,4,2,M
2841,2024-2841,U,B,1,3,O
2840,2024-2840,I,P,1,2,F
2839,2024-2839,E,Z,2,4,M
2838,2024-2838,F,F,2,3,M
2837,2024-2837,E,Q,2,5,F
2836,2024-2836,N,P,3,3,O
2835,2024-2835,R,M,1,5,M
2834,2024-2834,W,R,1,1,O
2833,2024-2833,D,N,3,2,O
2832,2024-2832,L,A,3,5,M
2831,2024-2831,N,C,2,3,O
2830,2024-2830,R,C,1,4,O
2829,2024-2829,C,R,3,1,F
2828,2024-2828,U,J,2,1,F
2827,2024-2827,Q,T,4,3,F
2826,2024-2826,F,Q,2,3,O
2825,2024-2825,Q,I,2,2,F
2824,2024-2824,M,Q,1,4,M
2823,2024-2823,L,V,2,1,M
2822,2024-2822,K,O,2,2,O
2821,2024-2821,V,S,4,1,M
2820,2024-2820,V,A,3,5,O
2819,2024-2819,B,R,3,4,F
2818,2024-2818,D,R,4,2,M
2817,2024-2817,N,X,1,1,O
2816,2024-2816,R,N,2,4,O
2815,2024-2815,R,O,3,1,F
2814,2024-2814,J,W,3,1,F
2813,2024-2813,B,Q,2,1,M
2812,2024-2812,M,H,2,5,O
2811,2024-2811,Q,W,1,1,M
2810,2024-2810,Q,A,1,2,O
2809,2024-2809,L,G,2,2,O
2808,2024-2808,S,U,2,4,O
2807,2024-2807,H,B,3,2,O
2806,2024-2806,U,Y,2,2,O
2805,2024-2805,T,S,1,5,O
2804,2024-2804,L,I,3,4,O
2803,2024-2803,L,W,2,5,F
2802,2024-2802,O,O,1,4,O
2801,2024-2801,I,N,2,5,F
2800,2024-2800,U,Z,2,2,M
2799,2024-2799,X,N,2,2,M
2798,2024-2798,J,R,1,5,F
2797,2024-2797,S,G,1,2,O
2796,2024-2796,U,E,4,5,O
2795,2024-2795,N,H,1,5,O
2794,2024-2794,R,N,4,5,M
2793,2024-2793,K,U,3,5,F
2792,2024-2792,R,D,2,1,F
2791,2024-2791,Y,X,3,1,O
2790,2024-2790,M,V,3,2,F
2789,2024-2789,L,M,3,2,F
2788,2024-2788,G,D,2,3,M
2787,2024-2787,B,S,1,4,F
2786,2024-2786,S,T,4,2,F
2785,2024-2785,X,I,1,4,O
2784,2024-2784,D,V,4,5,M
2783,2024-2783,C,M,1,3,F
2782,2024-2782,L,W,3,2,O
2781,2024-2781,M,F,4,3,M
2780,2024-2780,W,N,4,3,M
2779,2024-2779,Y,R,4,1,M
2778,2024-2778,I,Q,3,3,O
2777,2024-2777,U,R,4,3,F
2776,2024-2776,Z,E,1,2,M
2775,2024-2775,M,K,4,5,M
2774,2024-2774,A,S,2,3,F
2773,2024-2773,A,M,3,5,M
2772,2024-2772,L,Z,4,1,M
2771,2024-2771,C,V,3,2,M
2770,2024-2770,C,V,3,1,O
2769,2024-2769,R,V,3,4,F
2768,2024-2768,J,C,4,5,F
2767,2024-2767,M,J,1,1,O
2766,2024-2766,Y,E,2,5,O
2765,2024-2765,N,U,4,5,O
2764,2024-2764,O,T,2,5,F
2763,2024-2763,Q,A,1,1,O
2762,2024-2762,G,T,2,2,F
2761,2024-2761,Y,F,3,2,M
2760,2024-2760,S,I,2,2,F
2759,2024-2759,W,Q,1,5,M
2758,2024-2758,Q,S,3,4,F
2757,2024-2757,F,E,1,4,O
2756,2024-2756,F,V,2,5,M
2755,2024-2755,D,Y,1,3,O
2754,2024-2754,Z,X,3,5,F
2753,2024-2753,F,D,2,5,F
2752,2024-2752,J,M,3,5,O
2751,2024-2751,L,S,4,5,O
2750,2024-2750,Q,C,3,3,O
2749,2024-2749,Y,T,1,5,F
2748,2024-2748,R,G,2,5,O
2747,2024-2747,L,W,2,2,F
2746,2024-2746,E,F,1,4,O
2745,2024-2745,L,W,1,1,F
2744,2024-2744,Z,U,4,2,F
2743,2024-2743,Z,F,3,4,O
2742,2024-2742,T,R,2,1,O
2741,2024-2741,B,E,3,2,F
2740,2024-2740,M,G,3,2,F
2739,2024-2739,A,K,1,1,F
2738,2024-2738,D,V,4,5,M
2737,2024-2737,D,L,1,3,F
2736,2024-2736,H,E,2,3,F
2735,2024-2735,D,R,4,3,O
2734,2024-2734,J,D,1,4,M
2733,2024-2733,R,W,2,3,O
2732,2024-2732,S,V,3,5,M
2731,2024-2731,M,S,4,2,M
2730,2024-2730,L,L,1,5,O
2729,2024-2729,O,J,1,3,O
2728,2024-2728,L,R,2,1,F
2727,2024-2727,X,W,1,1,O
2726,2024-2726,S,A,3,3,F
2725,2024-2725,L,A,4,2,F
2724,2024-2724,P,V,1,1,M
2723,2024-2723,F,G,3,4,O
2722,2024-2722,L,T,1,1,M
2721,2024-2721,X,R,3,5,F
2720,2024-2720,C,H,4,2,O
2719,2024-2719,X,T,2,3,M
2718,2024-2718,A,R,1,1,F
2717,2024-2717,R,P,1,5,M
2716,2024-2716,A,P,4,1,M
2715,2024-2715,Q,X,3,2,O
2714,2024-2714,L,M,4,2,O
2713,2024-2713,V,Y,1,4,O
2712,2024-2712,A,Q,2,4,F
2711,2024-2711,N,N,4,5,O
2710,2024-2710,A,S,2,4,O
2709,2024-2709,B,G,3,2,F
2708,2024-2708,G,Y,4,2,O
2707,2024-2707,D,E,3,1,O
2706,2024-2706,V,A,3,2,M
2705,2024-2705,L,V,2,2,M
2704,2024-2704,V,V,3,1,O
2703,2024-2703,E,B,3,2,F
2702,2024-2702,Y,Y,4,4,O
2701,2024-2701,R,M,4,2,M
2700,2024-2700,X,P,3,5,O
2699,2024-2699,X,T,1,3,F
2698,2024-2698,F,P,2,1,O
2697,2024-2697,F,J,2,1,M
2696,2024-2696,T,N,3,5,O
2695,2024-2695,M,X,2,3,M
2694,2024-2694,M,P,2,2,M
2693,2024-2693,O,W,4,1,O
2692,2024-2692,U,N,3,4,M
2691,2024-2691,Y,L,3,1,F
2690,2024-2690,W,R,2,5,O
2689,2024-2689,M,J,1,3,F
2688,2024-2688,P,A,2,5,F
2687,2024-2687,I,Y,4,2,O
2686,2024-2686,X,J,3,5,F
2685,2024-2685,R,A,4,3,M
2684,2024-2684,A,X,4,3,F
2683,2024-2683,M,U,4,2,M
2682,2024-2682,M,P,1,4,M
2681,2024-2681,K,O,4,4,M
2680,2024-2680,A,R,2,1,F
2679,2024-2679,C,F,3,5,F
2678,2024-2678,G,V,4,1,M
2677,2024-2677,R,U,2,1,M
2676,2024-2676,R,Q,4,2,F
2675,2024-2675,O,O,1,1,M
2674,2024-2674,G,Z,4,1,F
2673,2024-2673,S,I,3,2,O
2672,2024-2672,L,E,3,1,M
2671,2024-2671,T,U,2,5,O
2670,2024-2670,Q,W,4,3,F
2669,2024-2669,D,V,1,3,M
2668,2024-2668,P,U,1,1,F
2667,2024-2667,B,E,1,5,F
2666,2024-2666,N,U,1,2,O
2665,2024-2665,Z,J,3,1,M
2664,2024-2664,C,H,2,5,F
2663,2024-2663,X,S,2,3,F
2662,2024-2662,Q,Q,4,2,F
2661,2024-2661,C,W,1,2,M
2660,2024-2660,H,R,2,2,O
2659,2024-2659,U,V,3,3,F
2658,2024-2658,T,R,2,4,M
2657,2024-2657,A,N,1,5,M
2656,2024-2656,E,L,3,2,O
2655,2024-2655,S,Q,1,1,M
2654,2024-2654,O,W,2,2,M
2653,2024-2653,F,R,1,1,F
2652,2024-2652,Z,A,2,5,M
2651,2024-2651,T,D,2,2,M
2650,2024-2650,E,J,2,1,O
2649,2024-2649,J,Y,4,3,M
2648,2024-2648,E,N,2,1,O
2647,2024-2647,M,P,1,1,M
2646,2024-2646,I,Y,4,5,F
2645,2024-2645,R,S,1,1,F
2644,2024-2644,E,A,3,2,O
2643,2024-2643,U,O,1,1,M
2642,2024-2642,Q,K,1,4,O
2641,2024-2641,L,D,3,4,M
2640,2024-2640,U,U,3,5,F
2639,2024-2639,P,A,2,1,F
2638,2024-2638,K,D,1,1,M
2637,2024-2637,P,P,1,4,F
2636,2024-2636,W,O,2,5,M
2635,2024-2635,L,I,3,4,M
2634,2024-2634,R,Y,2,1,O
2633,2024-2633,W,S,4,2,M
2632,2024-2632,S,R,1,1,M
2631,2024-2631,P,Z,2,4,F
2630,2024-2630,W,M,4,4,O
2629,2024-2629,L,V,3,3,M
2628,2024-2628,M,L,4,4,F
2627,2024-2627,B,W,3,4,M
2626,2024-2626,X,L,2,2,F
2625,2024-2625,J,D,2,3,O
2624,2024-2624,P,K,1,2,O
